iter	MAE
478	0.3388028442
479	0.3387410821
480	0.3386814079
481	0.3386315853
482	0.3385862631
483	0.3385209802
484	0.3384697472
485	0.3384181594
486	0.3383482121
487	0.3382535313
488	0.3381836712
489	0.3381361418
490	0.3380893793
491	0.3380248412
492	0.3379657531
493	0.3379096221
494	0.3378482849
495	0.3377681392
496	0.3377273417
497	0.3376696316
498	0.3376253172
499	0.3375628476
500	0.3375044199
501	0.3374191096
502	0.337385588
503	0.3373531825
504	0.3373101142
505	0.3372624147
506	0.3372057296
507	0.3371832309
508	0.3371150535
509	0.3370233166
510	0.3369750155
511	0.3369228309
512	0.3368639942
513	0.3367883027
514	0.3367252766
515	0.3366799456
516	0.3366493896
517	0.3365768291
518	0.3365380328
519	0.3365197628
520	0.3364809483
521	0.3363845667
522	0.3363125723
523	0.3362607773
524	0.3362035944
525	0.3361540058
526	0.3360935872
527	0.336021476
528	0.3359614768
529	0.3358828054
530	0.3358007252
531	0.3357552876
532	0.3357345364
533	0.335712669
534	0.3356669242
535	0.3356320583
536	0.3355504317
537	0.3354741552
538	0.3354158552
539	0.3353865942
540	0.3353506099
541	0.3353028752
542	0.3352483162
543	0.3352026242
544	0.3351783787
545	0.3351337775
546	0.3351094046
547	0.3350683052
548	0.3350289845
549	0.3349754708
550	0.3349324402
551	0.3348728097
552	0.3347996858
553	0.3347602681
554	0.3347009604
555	0.3346036802
556	0.3345774878
557	0.3345214674
558	0.3344634866
559	0.3343847653
560	0.3343453403
561	0.3342666943
562	0.3341952461
563	0.3341483712
564	0.3341052137
565	0.3340807889
566	0.3340370851
567	0.3339955447
568	0.3339265771
569	0.3338930593
570	0.33384421
571	0.3337981023
572	0.3337529723
573	0.3337185431
574	0.3336765873
575	0.3336467274
576	0.3335833679
577	0.3335358371
578	0.333465105
579	0.3333967635
580	0.3333715726
581	0.3333263727
582	0.3332634285
583	0.3332298468
584	0.3331782548
585	0.3331517264
586	0.3331037044
587	0.3330382108
588	0.3330286666
589	0.3329775302
590	0.3329033762
591	0.3328507655
592	0.3328107885
593	0.3327627392
594	0.332726433
595	0.3326828226
596	0.33264492
597	0.3325752111
598	0.3325118503
599	0.3324393931
600	0.3323729256
601	0.3323054861
602	0.3322706451
603	0.332232116
604	0.3321945179
605	0.3321552925
606	0.3321129695
607	0.3320418968
608	0.3320046952
609	0.3319908814
610	0.3319563502
611	0.3318984669
612	0.331862868
613	0.331771793
614	0.3317439558
615	0.3317227897
616	0.33167214
617	0.3316243378
618	0.3316046782
619	0.3315735107
620	0.3315466879
621	0.3315236849
622	0.3314589858
623	0.331417649
624	0.3313411143
625	0.3313080822
626	0.3312870112
627	0.3312512182
628	0.3312165697
629	0.3311804725
630	0.3311566422
631	0.33111629
632	0.3310673135
633	0.3310160515
634	0.3309888032
635	0.3309402715
636	0.3309166084
637	0.330868652
638	0.3308352791
639	0.3308084496
640	0.3307623265
641	0.3307252543
642	0.330667318
643	0.3306312664
644	0.3306004245
645	0.3305739428
646	0.3304987585
647	0.3304688129
648	0.3304174224
649	0.3303783827
650	0.3303413972
651	0.3302763521
652	0.3302545874
653	0.3302071281
654	0.3301630739
655	0.3301175024
656	0.3300720575
657	0.3300376441
658	0.329993129
659	0.329956234
660	0.3299185308
661	0.3298830213
662	0.3298360466
663	0.3297910457
664	0.3297381272
665	0.3297005264
666	0.3296405973
667	0.3295888805
668	0.32955398
669	0.3295161422
670	0.3294655854
671	0.3294084025
672	0.3293685991
673	0.3293225437
674	0.329279481
675	0.3292413777
676	0.3292092082
677	0.329159682
678	0.3291299518
679	0.3290906342
680	0.3290536928
681	0.3290022192
682	0.3289771738
683	0.3289018555
684	0.3288765266
685	0.32883963
686	0.3288199427
687	0.3287970074
688	0.3287267472
689	0.3286648329
690	0.3286004958
691	0.3285812343
692	0.3285304855
693	0.3284815716
694	0.3284565252
695	0.3284231903
696	0.3283844863
697	0.3283385466
698	0.3282867491
699	0.3282482661
700	0.3282049589
701	0.3281740541
702	0.3281331776
703	0.3280920202
704	0.3280547258
705	0.3279951255
706	0.3279577358
707	0.3279137274
708	0.3278598685
709	0.3278338305
710	0.3277970086
711	0.3277411087
712	0.3277043217
713	0.3276811097
714	0.3276773221
715	0.3276490015
716	0.3276057132
717	0.3275384355
718	0.3275000555
719	0.3274655348
720	0.3274374214
721	0.3273835135
722	0.3273193444
723	0.3272990508
724	0.3272732868
725	0.3272110398
726	0.3271740991
727	0.3271504723
728	0.3271169032
729	0.3271018389
730	0.3270728582
731	0.3270207266
732	0.3270190487
733	0.3269833951
734	0.3269530881
735	0.3269270219
736	0.3269061348
737	0.3268840353
738	0.3268706498
739	0.3268535245
740	0.3268126042
741	0.3267840877
742	0.3267251629
743	0.3266992313
744	0.3266713411
745	0.3266446962
746	0.3266116025
747	0.3265781701
748	0.3265499971
749	0.3265146937
750	0.3264859931
751	0.3264695418
752	0.3264327477
753	0.3263833151
754	0.32631473
755	0.3262804577
756	0.3262323898
757	0.3261917305
758	0.3261678331
759	0.3261430612
760	0.326124754
761	0.3260716434
762	0.3260317657
763	0.3260124938
764	0.3259752755
765	0.3259360765
766	0.3259144386
767	0.3258927881
768	0.325870719
769	0.3258538053
770	0.3258228379
771	0.3257859453
772	0.3257609371
773	0.3256914518
774	0.3256464869
775	0.3256060685
776	0.3255756374
777	0.3255493694
778	0.3255214506
779	0.3254705983
780	0.3254327633
781	0.3254052803
782	0.3253710584
783	0.3253360494
784	0.3252870214
785	0.3252480692
786	0.3252122264
787	0.3251757362
788	0.3251043269
789	0.3250822844
790	0.3250446091
791	0.3250144156
